Biomarker Name,ID,Exhaustive Synonyms,Type,Linking Varibles
Serotonin,987693,"5-Hydroxytryptamine, 5-HT",Chemical,HMDB0000259
Thymine,683579,5-Methyluracil,Chemical,HMDB0000262
Liothyronine,230463,"T3, Triiodothyronine",Chemical,HMDB0000265
Pyroglutamic acid,992966,"5-Oxoproline, Pidolic acid",Chemical,HMDB0000267
Sarcosine,310831,N-Methylglycine,Chemical,HMDB0000271
Phosphoserine,266877,O-Phospho-L-serine,Chemical,HMDB0000272
Thymidine,421693,"dT, 2'-Deoxythymidine",Chemical,HMDB0000273
D-Ribose,123202,Ribose,Chemical,HMDB0000283
Uridine 5'-monophosphate,839562,"UMP, 5'-Uridylic acid",Chemical,HMDB0000288
Uric acid,966416,Urate,Chemical,HMDB0000289
Vanillylmandelic acid,892787,VMA,Chemical,HMDB0000291
Xanthine,939247,"3,7-Dihydropurine-2,6-dione",Chemical,HMDB0000292
Urea,516311,Carbamide,Chemical,HMDB0000294
Uridine,923182,Urd,Chemical,HMDB0000296
Uracil,468354,Ura,Chemical,HMDB0000300
Urocanic acid,103732,Urocanate,Chemical,HMDB0000301
Vitamin A,974142,"Retinol, Retinal, Retinoic acid",Chemical,HMDB0000305
Tyramine,539338,4-Hydroxyphenethylamine,Chemical,HMDB0000306
"3,4-Dihydroxyphenylglycol",568773,"DHPG, DOPEG",Chemical,HMDB0000318
18-Hydroxycorticosterone,113229,18-OHB,Chemical,HMDB0000319
2-Hydroxyadipic acid,838228,"Alpha-hydroxyadipate, α-Hydroxyadipic acid",Chemical,HMDB0000321
(R)-3-Hydroxyisobutyric acid,531098,(R)-3-HIB,Chemical,HMDB0000336
"(S)-3,4-Dihydroxybutyric acid",905282,2-Deoxytetronic acid,Chemical,HMDB0000337
2-Methylbutyrylglycine,155120,2-MBG,Chemical,HMDB0000339
2-Hydroxyestrone,368308,2-OHE1,Chemical,HMDB0000343
3-Hydroxysebacic acid,941697,3-OH-sebacate,Chemical,HMDB0000350
2-Methyl-3-hydroxybutyric acid,862048,2M3HBA,Chemical,HMDB0000354
3-Hydroxymethylglutaric acid,696860,3-HMGA,Chemical,HMDB0000355
3-Hydroxybutyric acid,984908,"3-Hydroxybutanoic acid, Beta-hydroxybutyrate, BHB",Chemical,HMDB0000357
17a-Hydroxypregnenolone,665678,17-OH-Pregnenolone,Chemical,HMDB0000363
17-Hydroxyprogesterone,767895,"17-OHP, 17-alpha-Hydroxyprogesterone",Chemical,HMDB0000374
2-Methylcitric acid,372970,2-Methylcitrate,Chemical,HMDB0000379
2-Ethylhydracrylic acid,570095,2-Ethyl-3-hydroxypropanoic acid,Chemical,HMDB0000396
2-Methoxyestradiol,924137,2-MeOE2,Chemical,HMDB0000405
2-Hydroxy-3-methylbutyric acid,408684,2-Hydroxyisovaleric acid,Chemical,HMDB0000407
2-Methylglutaric acid,354243,2-Methylglutarate,Chemical,HMDB0000422
"3,4-Dihydroxyhydrocinnamic acid",248958,Dihydrocaffeic acid,Chemical,HMDB0000423
3-Hydroxyglutaric acid,535534,3-OH-Glutarate,Chemical,HMDB0000428
17a-Estradiol,819283,17-epi-Estradiol,Chemical,HMDB0000429
2-Furoylglycine,129275,Furoylglycine,Chemical,HMDB0000439
3-Hydroxyphenylacetic acid,987577,"m-Hydroxyphenylacetic acid, 3-HPAA",Chemical,HMDB0000440
Adipic acid,789106,"Adipate, Hexanedioic acid",Chemical,HMDB0000448
5-Hydroxylysine,891149,"Hyl, 5-Hydroxy-L-lysine",Chemical,HMDB0000450
cis-4-Hydroxycyclohexylacetic acid,930229,,Chemical,N/A
3-Methylcrotonylglycine,210493,3-MCG,Chemical,HMDB0000459
Allantoin,632452,5-Ureidohydantoin,Chemical,HMDB0000462
Calcium,345882,Ca,Chemical,HMDB0000464
Biopterin,100220,,Chemical,HMDB0000468
5-Hydroxymethyluracil,335418,,Chemical,HMDB0000469
5-Hydroxy-L-tryptophan,840494,"5-HTP, Oxitriptan",Chemical,HMDB0000472
Butanone,308250,"Methyl ethyl ketone, MEK",Chemical,HMDB0000474
3-Methylhistidine,858703,"3-MHis, Tau-methylhistidine",Chemical,HMDB0000479
Caprylic acid,110450,"Octanoic acid, Caprylate",Chemical,HMDB0000482
Vanillic acid,514603,4-Hydroxy-3-methoxybenzoic acid,Chemical,HMDB0000484
Aspartylglycosamine,191001,"AGA, Aspartylglucosamine",Chemical,HMDB0000489
Etiocholanolone,953505,5β-Androstan-3α-ol-17-one,Chemical,HMDB0000490
3-Methyl-2-oxovaleric acid,911405,"KMV, α-Keto-β-methylvaleric acid",Chemical,HMDB0000491
Chlorine,802028,"Cl, Chloride",Chemical,HMDB0000492
Androstanediol,934347,"3α-Androstanediol, 5α-Androstane-3α,17β-diol",Chemical,HMDB0000495
7-Ketocholesterol,937417,"7-KC, 3β-Hydroxy-5-cholesten-7-one",Chemical,HMDB0000501
Ribitol,452216,Adonitol,Chemical,HMDB0000508
Aminoadipic acid,926954,"2-Aminoadipic acid, Alpha-aminoadipate, α-Aminoadipic acid",Chemical,HMDB0000510
L-Arginine,615857,"Arg, R",Chemical,HMDB0000517
Chenodeoxycholic acid,470584,"CDCA, Chenodiol",Chemical,HMDB0000518
5Z-Tetradecenoic acid,476850,"Physeteric acid, (Z)-Tetradec-5-enoic acid",Chemical,HMDB0000521
3-Methylglutaconic acid,258723,3-MGA,Chemical,HMDB0000522
5-Hydroxyhexanoic acid,539385,5-Hydroxycaproic acid,Chemical,HMDB0000525
5a-Tetrahydrocortisol,339273,"Allo-tetrahydrocortisol, Allotetrahydrocortisol",Chemical,HMDB0000526
3-Hydroxyvaleric acid,657568,3-Hydroxypentanoic acid,Chemical,HMDB0000531
Acetylglycine,862798,N-Acetylglycine,Chemical,HMDB0000532
Caproic acid,660661,"Hexanoic acid, Caproate",Chemical,HMDB0000535
Adenosine triphosphate,696654,ATP,Chemical,HMDB0000538
Magnesium,475330,Mg,Chemical,HMDB0000547
3-Methyladipic acid,685322,3-Methyladipate,Chemical,HMDB0000555
L-Alloisoleucine,588708,"(2S,3R)-2-Amino-3-methylpentanoic acid",Chemical,HMDB0000557
B-Carotene,764130,"beta-Carotene, β-Carotene, Provitamin A",Chemical,HMDB0000561
Creatinine,174647,2-Amino-1-methyl-5H-imidazol-4-one,Chemical,HMDB0000562
D-Arabitol,625122,Arabitol,Chemical,HMDB0000568
Deoxypyridinoline,580468,"DPD, Pyrilinks-D",Chemical,HMDB0000569
Coproporphyrin III,767892,,Chemical,HMDB0000570
L-Cysteine,176796,"Cys, C",Chemical,HMDB0000574
"3,5-Diiodothyronine",349103,T2,Chemical,HMDB0000582
Potassium,446428,K,Chemical,HMDB0000586
Sodium,459965,Na,Chemical,HMDB0000588
Hydrogen carbonate,677830,"Bicarbonate, HCO3-",Chemical,HMDB0000595
Chromium,166866,Cr,Chemical,HMDB0000599
Galactosylhydroxylysine,987217,GHL,Chemical,HMDB0000600
cis-4-Decenedioic acid,114093,,Chemical,HMDB0000603
D-2-Hydroxyglutaric acid,382277,D-2-HG,Chemical,HMDB0000606
Cyanocobalamin,214067,Vitamin B12,Chemical,HMDB0000607
Cobalt,927018,Co,Chemical,HMDB0000608
D-Ribulose 5-phosphate,619888,R5P,Chemical,HMDB0000618
Cholic acid,582917,Cholalic acid,Chemical,HMDB0000619
Glutaconic acid,460141,Glutaconate,Chemical,HMDB0000620
Ethylmalonic acid,268120,EMA,Chemical,HMDB0000622
Deoxycholic acid,137963,"DCA, Deoxycholate, Cholan-24-oic acid",Chemical,HMDB0000626
Succinylacetone,441141,"4,6-Dioxoheptanoic acid",Chemical,HMDB0000635
Dodecanoic acid,740186,"Lauric acid, Laurate",Chemical,HMDB0000638
L-Glutamine,105732,"Gln, Q",Chemical,HMDB0000641
Coproporphyrin I,955866,,Chemical,HMDB0000643
Galactose 1-phosphate,720266,G1P,Chemical,HMDB0000645
L-Arabinose,350925,Pectin sugar,Chemical,HMDB0000646
Decanoylcarnitine,263896,C10 Carnitine,Chemical,HMDB0000651
Cholesterol sulfate,466464,,Chemical,HMDB0000653
Copper,878177,Cu,Chemical,HMDB0000657
D-Fructose,551566,"Fructose, Fruit sugar",Chemical,HMDB0000660
Glutaric acid,139149,"Glutarate, Pentanedioic acid",Chemical,HMDB0000661
Fluorine,607590,"F, Fluoride",Chemical,HMDB0000662
Ortho-Hydroxyphenylacetic acid,396252,2-Hydroxyphenylacetic acid,Chemical,HMDB0000669
Homo-L-arginine,757674,Homoarginine,Chemical,HMDB0000670
Linoleic acid,802073,"(9Z,12Z)-Octadecadienoic acid",Chemical,HMDB0000673
Iodine,830728,"I, Iodide",Chemical,HMDB0000675
L-Homocystine,407862,Homocystine,Chemical,HMDB0000676
Isovalerylglycine,882600,IVG,Chemical,HMDB0000678
Homocitrulline,652821,,Chemical,HMDB0000679
Indoxyl sulfate,855432,"Indoxylsulfate, 3-Indoxyl sulfate",Chemical,HMDB0000682
L-Kynurenine,984611,Kynurenine,Chemical,HMDB0000684
L-Leucine,940533,"Leu, L",Chemical,HMDB0000687
Isovalerylcarnitine,301346,"IVC, C5 Carnitine",Chemical,HMDB0000688
Malonic acid,730685,"Malonate, Propanedioic acid",Chemical,HMDB0000691
Iron,936650,Fe,Chemical,HMDB0000692
Heparan sulfate,624759,,Chemical,HMDB0000693
L-2-Hydroxyglutaric acid,893419,L-2-HG,Chemical,HMDB0000694
Ketoleucine,964407,"Alpha-ketoisocaproate, α-Ketoisocaproic acid",Chemical,HMDB0000695
L-Methionine,811903,"Met, M",Chemical,HMDB0000696
1-Methylnicotinamide,999398,1-MNA,Chemical,HMDB0000699
3-Hydroxypropionic acid,438588,"3-HP, Beta-hydroxypropionic acid",Chemical,HMDB0000700
Hexanoylglycine,526090,,Chemical,HMDB0000701
Mandelic acid,836607,Amygdalic acid,Chemical,HMDB0000703
4-Hydroxyphenylpyruvic acid,532494,4-HPPA,Chemical,HMDB0000707
Glycoursodeoxycholic acid,342429,GUDCA,Chemical,HMDB0000708
4-Hydroxybutyric acid,529852,"GHB, Gamma-hydroxybutyrate",Chemical,HMDB0000710
Hippuric acid,545711,N-Benzoylglycine,Chemical,HMDB0000714
Kynurenic acid,115791,KYNA,Chemical,HMDB0000715
L-Pipecolic acid,483391,(S)-Piperidine-2-carboxylic acid,Chemical,HMDB0000716
Isovaleric acid,844813,"3-Methylbutanoic acid, Isovalerate",Chemical,HMDB0000718
L-Homoserine,305441,Homoserine,Chemical,HMDB0000719
Glycylproline,960176,Gly-Pro,Chemical,HMDB0000721
Lithocholyltaurine,472065,Taurolithocholic acid,Chemical,HMDB0000722
Hydroxyproline,586860,4-Hydroxy-L-proline,Chemical,HMDB0000725
Alpha-Hydroxyisobutyric acid,767124,2-Hydroxyisobutyric acid,Chemical,HMDB0000729
Isobutyrylglycine,251030,,Chemical,HMDB0000730
Cysteine-S-sulfate,774004,S-Sulfocysteine,Chemical,HMDB0000731
Hyodeoxycholic acid,227649,HDCA,Chemical,HMDB0000733
Isobutyryl-L-carnitine,967765,C4 Carnitine,Chemical,HMDB0000736
Heptacarboxylporphyrin I,497104,,Chemical,HMDB0000737
Lactulose,140574,,Chemical,HMDB0000740
Homocysteine,931274,Hcy,Chemical,HMDB0000742
Hydroxyisocaproic acid,825989,"HICA, Leucic acid",Chemical,HMDB0000746
Methylglutaric acid,178711,3-Methylglutaric acid,Chemical,HMDB0000752
3-Hydroxyisovaleric acid,899042,3-HIVA,Chemical,HMDB0000754
Hydroxyphenyllactic acid,163600,"HPLA, 4-Hydroxyphenyllactic acid",Chemical,HMDB0000755
L-Hexanoylcarnitine,568036,C6 Carnitine,Chemical,HMDB0000756
Lithocholic acid,929458,"LCA, Lithocholate",Chemical,HMDB0000761
5-Hydroxyindoleacetic acid,923746,5-HIAA,Chemical,FDB001403
Hydrocinnamic acid,102511,3-Phenylpropanoic acid,Chemical,FDB008271
Mannitol,556709,,Chemical,HMDB0000765
Pseudouridine,659301,"Psi, ψ, 5-Ribosyluracil",Chemical,HMDB0000767
Phenyllactic acid,764006,"PLA, 3-Phenyllactic acid",Chemical,HMDB0000779
Azelaic acid,202930,"Nonanedioic acid, Azelate",Chemical,HMDB0000784
Orotidine,912449,,Chemical,HMDB0000788
L-Octanoylcarnitine,517524,C8 Carnitine,Chemical,HMDB0000791
Sebacic acid,480606,"Decanedioic acid, Sebacate",Chemical,HMDB0000792
Pristanic acid,161376,"2,6,10,14-Tetramethylpentadecanoic acid",Chemical,HMDB0000795
SAICAR,515597,Phosphoribosylaminoimidazolesuccinocarboxamide,Chemical,HMDB0000797
Phytanic acid,115918,"3,7,11,15-Tetramethylhexadecanoic acid",Chemical,HMDB0000801
N-Butyrylglycine,331353,,Chemical,HMDB0000808
N-Acetyl-L-aspartic acid,963166,"NAA, N-Acetylaspartate",Chemical,HMDB0000812
Normetanephrine,983687,,Chemical,HMDB0000819
Propyl alcohol,489149,"1-Propanol, Propan-1-ol",Chemical,HMDB0000820
Propionylcarnitine,831279,C3 Carnitine,Chemical,HMDB0000824
Stearic acid,325624,"Octadecanoic acid, Stearate",Chemical,HMDB0000827
Neuraminic acid,954189,,Chemical,HMDB0000830
Neopterin,498645,,Chemical,HMDB0000845
Stearoylcarnitine,543203,C18 Carnitine,Chemical,HMDB0000848
Pyridinoline,942225,PYD,Chemical,HMDB0000851
Beta-Sitosterol,360519,β-Sitosterol,Chemical,HMDB0000852
Pimelic acid,977216,"Heptanedioic acid, Pimelate",Chemical,HMDB0000857
Phenylpropionylglycine,824868,PPG,Chemical,HMDB0000860
Isopropyl alcohol,626822,"Isopropanol, 2-Propanol, Rubbing alcohol",Chemical,HMDB0000863
N-Acetyl-L-tyrosine,814425,NAT,Chemical,HMDB0000866
Histamine,545306,,Chemical,HMDB0000870
Tauroursodeoxycholic acid,791044,TUDCA,Chemical,HMDB0000874
Trigonelline,630584,,Chemical,HMDB0000875
Xanthurenic acid,140650,XA,Chemical,HMDB0000881
L-Valine,993609,"Val, V",Chemical,HMDB0000883
Valeric acid,800541,"Pentanoic acid, Valerate",Chemical,HMDB0000892
Suberic acid,582623,"Octanedioic acid, Suberate",Chemical,HMDB0000893
Acetylcholine,560372,ACh,Chemical,HMDB0000895
Taurodeoxycholic acid,785905,TDCA,Chemical,HMDB0000896
1-Methylhistamine,896233,N-Methylhistamine,Chemical,HMDB0000898
Tetrahydrocortisone,516404,THE,Chemical,HMDB0000903
Citrulline,244969,L-Citrulline,Chemical,HMDB0000904
Trimethylamine,976759,TMA,Chemical,HMDB0000906
5-alpha-Cholestanol,128935,"Dihydrocholesterol, Cholestanol",Chemical,HMDB0000908
Succinyladenosine,482580,,Chemical,HMDB0000912
Trimethylamine N-oxide,468107,TMAO,Chemical,HMDB0000925
L-Tryptophan,369157,"Trp, W",Chemical,HMDB0000929
Uroporphyrin I,395505,,Chemical,HMDB0000936
S-Adenosylhomocysteine,325926,SAH,Chemical,HMDB0000939
Threonic acid,563798,Threonate,Chemical,HMDB0000943
Behenic acid,985757,Docosanoic acid,Chemical,HMDB0000944
Ursodeoxycholic acid,724771,UDCA,Chemical,HMDB0000946
Tetrahydrocortisol,229338,THF,Chemical,HMDB0000949
Taurochenodesoxycholic acid,954316,TCDCA,Chemical,HMDB0000951
Suberylglycine,907276,,Chemical,HMDB0000953
trans-Ferulic acid,855241,Ferulic acid,Chemical,FDB012802
Tartaric acid,980329,Tartrate,Chemical,HMDB0000956
trans-Aconitic acid,186643,,Chemical,HMDB0000958
Tiglylglycine,616379,,Chemical,HMDB0000959
Acetaldehyde,393939,Ethanal,Chemical,HMDB0000990
DHEA sulfate,180748,"DHEA-S, Dehydroepiandrosterone sulfate",Chemical,HMDB0001032
Angiotensin II,377873,Ang II,Chemical,HMDB0001035
Arachidonic acid,365827,"ARA, AA, (5Z,8Z,11Z,14Z)-Eicosatetraenoic acid",Chemical,HMDB0001043
Enkephalin L,866886,Leucine enkephalin,Chemical,HMDB0001045
Cotinine,139194,,Chemical,HMDB0001046
Ubiquinol 8,581334,,Chemical,HMDB0001060
N-Acetylaspartylglutamic acid,645852,NAAG,Chemical,HMDB0001067
D-Sedoheptulose 7-phosphate,309171,S7P,Chemical,HMDB0001068
Coenzyme Q10,546776,"CoQ10, Ubiquinone-10",Chemical,HMDB0001072
Leukotriene B4,961505,LTB4,Chemical,HMDB0001085
2-Aminobenzoic acid,248999,Anthranilic acid,Chemical,HMDB0001123
Nornicotine,535396,,Chemical,HMDB0001126
Prostaglandin F2a,904157,"PGF2α, Dinoprost",Chemical,HMDB0001139
5-Aminolevulinic acid,161924,"5-ALA, d-ALA",Chemical,HMDB0001149
Keratan,606380,Keratan sulfate,Chemical,HMDB0001165
Pyruvaldehyde,138543,"Methylglyoxal, MGO",Chemical,HMDB0001167
Lathosterol,558422,,Chemical,HMDB0001170
N1-Acetylspermine,120370,,Chemical,HMDB0001186
Leukotriene C4,272870,LTC4,Chemical,HMDB0001198
Guanosine diphosphate,584718,GDP,Chemical,HMDB0001201
Prostaglandin E2,734557,"PGE2, Dinoprostone",Chemical,HMDB0001220
Aluminum,384299,Al,Chemical,HMDB0001247
Spermine,223839,,Chemical,HMDB0001256
Spermidine,898779,,Chemical,HMDB0001257
N1-Acetylspermidine,763903,,Chemical,HMDB0001276
"2,3-Diphosphoglyceric acid",719183,"2,3-DPG, 2,3-BPG",Chemical,HMDB0001294
Molybdenum,753460,Mo,Chemical,HMDB0001302
Zinc,668267,Zn,Chemical,HMDB0001303
D-Lactic acid,107192,"D-Lactate, (R)-2-Hydroxypropanoic acid",Chemical,HMDB0001311
Phosphorus,453682,P,Chemical,HMDB0001315
Manganese,270752,Mn,Chemical,HMDB0001333
"3,4-Dihydroxybenzeneacetic acid",851878,DOPAC,Chemical,HMDB0001336
ADP,472049,Adenosine diphosphate,Chemical,HMDB0001341
Selenium,629816,Se,Chemical,HMDB0001349
Alpha-Linolenic acid,889919,ALA,Chemical,HMDB0001388
Melatonin,636697,N-Acetyl-5-methoxytryptamine,Chemical,HMDB0001389
Hydroxycotinine,867428,3-Hydroxycotinine,Chemical,HMDB0001390
5-Methyltetrahydrofolic acid,122191,"5-MTHF, Levomefolic acid",Chemical,HMDB0001396
Glucose 6-phosphate,324802,G6P,Chemical,HMDB0001401
Prostaglandin D2,288815,PGD2,Chemical,HMDB0001403
Putrescine,193652,"1,4-Diaminobutane",Chemical,HMDB0001414
24-Hydroxycholesterol,436252,Cerebrosterol,Chemical,HMDB0001419
Estrone sulfate,865591,E1S,Chemical,HMDB0001425
Phosphate,726740,"PO4(3-), Inorganic phosphate, Pi",Chemical,HMDB0001429
Pyridoxamine,543414,,Chemical,HMDB0001431
3-Methoxytyrosine,287075,"3-OMD, 3-O-Methyldopa",Chemical,HMDB0001434
25-Hydroxyvitamin D2,321352,"Ercalciol, Calcidiol D2, 25-OH-D2",Chemical,HMDB0001438
Sulfate,291814,"SO4(2-), Sulphate",Chemical,HMDB0001448
Allopregnanolone,865203,"3伪-Hydroxy-5伪-pregnan-20-one, Brexanolone",Chemical,HMDB0001449
Thiocyanate,848604,SCN-,Chemical,HMDB0001453
Dihydroxyacetone phosphate,895461,"DHAP, Glycerone phosphate",Chemical,HMDB0001473
Nicotinic acid,626698,"Niacin, Vitamin B3",Chemical,HMDB0001488
Vanylglycol,988120,"MHPG, 3-Methoxy-4-hydroxyphenylglycol",Chemical,HMDB0001490
Pyridoxal 5'-phosphate,711799,"PLP, P5P, Codecarboxylase",Chemical,HMDB0001491
Gama-Tocopherol,127788,"gamma-Tocopherol, 纬-Tocopherol",Chemical,HMDB0001492
7a-Hydroxycholesterol,101337,7-alpha-Hydroxycholesterol,Chemical,HMDB0001496
20-Hydroxy-leukotriene B4,418276,20-OH-LTB4,Chemical,HMDB0001509
Methylguanidine,895410,,Chemical,HMDB0001522
3-Methylthiopropionic acid,878610,"MTP, 3-Methylthiopropanoate",Chemical,HMDB0001527
Asymmetric Dimethyl-L-arginine,454010,ADMA,Chemical,HMDB0001539
Pyridoxal,717199,Vitamin B6 aldehyde,Chemical,HMDB0001545
Corticosterone,294264,,Chemical,HMDB0001547
D-Ribose 5-phosphate,633847,R5P,Chemical,HMDB0001548
1-Methylguanosine,920243,m1G,Chemical,HMDB0001563
Phosphorylcholine,941120,Phosphocholine,Chemical,HMDB0001565
Phenylglyoxylic acid,526032,Benzoylformic acid,Chemical,HMDB0001587
D-Xylulose,126222,,Chemical,HMDB0001644
Acetone,523391,"Propan-2-one, Propanone",Chemical,HMDB0001659
m-Coumaric acid,763644,"3-Coumaric acid, 3-Hydroxycinnamic acid",Chemical,HMDB0001713
Progesterone,122339,P4,Chemical,HMDB0001830
Guanidine,166180,,Chemical,HMDB0001842
Methylsuccinic acid,540364,Pyrotartaric acid,Chemical,HMDB0001844
Caffeine,239254,"1,3,7-Trimethylxanthine",Chemical,HMDB0001847
L-Arabitol,421262,,Chemical,HMDB0001851
Protocatechuic acid,608686,"3,4-Dihydroxybenzoic acid",Chemical,HMDB0001856
"1,3-Dimethyluric acid",123662,,Chemical,HMDB0001857
p-Cresol,248750,"4-Cresol, 4-Methylphenol",Chemical,HMDB0001858
Paraxanthine,204030,"1,7-Dimethylxanthine",Chemical,HMDB0001860
Benzoic acid,217568,"Benzoate, Dracylic acid",Chemical,HMDB0001870
Epicatechin,776002,,Chemical,HMDB0001871
Isobutyric acid,214927,"Isobutyrate, 2-Methylpropanoic acid",Chemical,HMDB0001873
Methanol,381790,"Methyl alcohol, Wood alcohol",Chemical,HMDB0001875
Propylene glycol,547724,"1,2-Propanediol",Chemical,HMDB0001881
3-Chlorotyrosine,468075,,Chemical,HMDB0001885
3-Methylxanthine,231900,,Chemical,HMDB0001886
"N,N-Dimethylformamide",691228,DMF,Chemical,HMDB0001888
Theophylline,649769,"1,3-Dimethylxanthine",Chemical,HMDB0001889
Alpha-Tocopherol,744431,"伪-Tocopherol, Vitamin E",Chemical,HMDB0001893
Substance P,571544,SP,Chemical,HMDB0001897
3-Nitrotyrosine,229926,,Chemical,HMDB0001904
Digoxin,432537,,Chemical,HMDB0001917
L(-)-Nicotine pestanal,539313,Nicotine,Chemical,HMDB0001934
Tin,301387,Sn,Chemical,HMDB0001960
Caffeic acid,196102,"3,4-Dihydroxycinnamic acid",Chemical,HMDB0001964
Titanium,973326,Ti,Chemical,HMDB0001966
Carbon dioxide,874197,CO2,Chemical,HMDB0001967
Docosapentaenoic acid (22n-6),635302,"DPA (n-6), Osbond acid",Chemical,HMDB0001976
Vasopressin,870500,"Arginine vasopressin, AVP, ADH (Antidiuretic hormone)",Chemical,HMDB0001980
2-Hydroxy-2-methylbutyric acid,858454,,Chemical,HMDB0001987
Tungsten,875240,W,Chemical,HMDB0001989
7a-Hydroxy-cholestene-3-one,548629,"7-alpha-Hydroxy-4-cholesten-3-one, C4",Chemical,HMDB0001993
Eicosapentaenoic acid,128411,"EPA, (5Z,8Z,11Z,14Z,17Z)-Eicosapentaenoic acid",Chemical,HMDB0001999
Methionine sulfoxide,231002,MetO,Chemical,HMDB0002005
Ubiquinone Q1,310123,"Coenzyme Q1, CoQ1",Chemical,HMDB0002012
Butyrylcarnitine,706539,C4 carnitine,Chemical,HMDB0002013
cis-5-Tetradecenoylcarnitine,866023,C14:1 carnitine,Chemical,HMDB0002014
8-Dehydrocholesterol,219676,"Cholesta-5,8-dien-3-beta-ol",Chemical,HMDB0002027
Fructosamine,301883,,Chemical,HMDB0002030
Ureidoisobutyric acid,489307,3-Ureidoisobutyric acid,Chemical,HMDB0002031
8-Hydroxyguanine,253449,"8-Oxoguanine, 8-oxo-G",Chemical,HMDB0002032
8-Hydroxyguanosine,562036,"8-Oxoguanosine, 8-oxo-Guo",Chemical,HMDB0002044
Hyaluronic acid,260350,"Hyaluronan, Hyaluronate",Chemical,HMDB0002061
N-Acetylputrescine,400625,,Chemical,HMDB0002064
Erucic acid,529805,(Z)-Docos-13-enoic acid,Chemical,HMDB0002068
Cyanide,356918,CN-,Chemical,HMDB0002084
N-Ribosylhistidine,451580,,Chemical,HMDB0002089
Malonylcarnitine,901659,,Chemical,HMDB0002095
27-Hydroxycholesterol,869449,,Chemical,HMDB0002103
Monoethyl phthalate,557558,MEP,Chemical,HMDB0002120
"1,3,7-Trimethyluric acid",158542,Trimethyluric acid,Chemical,HMDB0002123
Apigenin,893419,,Chemical,HMDB0002124
Coproporphyrinogen I,470483,,Chemical,HMDB0002158
Trihydroxycoprostanoic acid,678834,THCA,Chemical,HMDB0002163
Cobalamin,883781,Vitamin B12,Chemical,HMDB0002174
Silicon,322706,Si,Chemical,HMDB0002175
Docosahexaenoic acid,852599,"DHA, Cervonic acid",Chemical,HMDB0002183
N8-Acetylspermidine,569225,,Chemical,HMDB0002189
Bismuth,492663,Bi,Chemical,HMDB0002196
Leukotriene E4,680087,LTE4,Chemical,HMDB0002200
Astaxanthin,716684,,Chemical,HMDB0002204
Equol,560985,,Chemical,HMDB0002209
Arachidic acid,582341,"Eicosanoic acid, Arachidate",Chemical,HMDB0002212
